t,X1,X2,X3,X4,X5,X6,CPIinf
86,-0.00242277,0.006496929,0.021544135,0.001513647,-0.038999597,-0.13731758,0.000711207
87,-0.009367296,-0.006374271,-0.016509008,-0.01587202,0.027447199,-0.093386184,-0.001252531
88,0.017560001,0.013623016,0.009286743,0.017807041,0.040977559,0.214940105,0.000431586
89,-0.005491728,-0.002249759,-0.016086107,-0.011071864,-0.00627368,0.129183232,0.004737871
90,-0.020239621,-0.022419524,0.000828743,-0.015173802,-0.017516888,-0.048401662,-0.008245907
91,0.007399972,0.013896637,0.013037796,0.005345223,-0.022232459,0.022163153,0.002326124
92,0.010815744,0.016299014,0.013161675,0.007986234,0.02144205,0.067248157,0.006952172
93,-0.016120271,-0.03096087,-0.038781228,-0.009762731,-0.062663962,-0.211019441,-0.007222076
94,0.019944484,0.020778312,0.015316683,0.011153136,-0.030771397,0.304538449,0.007279866
95,0.010287368,0.011547477,-0.004050346,0.016798474,0.029725174,0.319286408,-0.000287579
96,-0.0490003,-0.034932383,-0.003740857,-0.03993382,0.018551435,-0.365368469,-0.009389289
97,0.010243573,-0.000314483,0.00213273,-0.002502209,-0.059236894,-0.193516795,-0.001529263
98,0.008547439,0.003302794,-0.0160845,0.01302788,-0.044169795,0.041119672,0.001674542
99,0.002295099,0.010534023,0.01205416,0.004388833,0.021790903,0.021317369,0.000669082
100,-0.003732337,-0.008308679,0.002434663,-0.0049751,-0.012600561,-0.181695077,-0.001508254
101,0.013741585,0.006887065,-0.004067062,0.010520896,-0.054357748,0.134504169,0.000908388
102,-0.004913339,-0.0008556,0.007864388,-0.002081223,0.089292645,0.027013774,-5.76E-05
103,-0.006240029,0.000245314,0.003749465,-0.005801666,0.068738961,-0.061456765,0.001116255
104,0.00479993,-0.001652023,-0.003529478,0.006348853,-0.077899013,-0.062633248,-0.001471675
105,0.005012419,0.004020895,0.007936386,-0.001467606,0.047412258,0.006306895,-5.29E-05
106,-0.014842613,-0.021334098,-0.020445675,-0.005737988,-0.048574587,-0.155786532,-0.00258057
107,0.005593781,0.012154718,0.019344494,0.002005567,0.034947669,-0.063982456,0.003639054
108,0.003637357,0.005442087,-0.006131784,0.003141999,0.017540425,-0.162860185,-0.003243861
109,0.001651473,-0.004079973,-0.009982418,0.000553368,-0.088994736,0.20681878,0.000653056
110,0.00217716,0.00676291,0.001561051,0.009265183,-0.089578283,0.089647901,0.003556799
111,-0.003896257,-0.005415476,0.011589698,0.001744521,-0.070739575,-0.093216049,-0.003417216
112,0.012485949,0.007231974,0.001751339,0.006797467,-0.032078926,0.025193825,0.001514105
113,-0.004256723,-0.003785792,-0.012769361,-0.009234407,-0.018765302,0.087003438,0.000823618
114,-0.009946602,-0.003466655,0.009602476,-0.010469159,-0.081101622,-0.105726247,-0.003113433
115,-4.54E-06,0.004757174,0.006610595,-0.004519196,0.077700707,-0.000302528,0.00040825
116,0.004491719,0.005713091,-0.00775829,0.001328978,0.261740798,0.103786793,0.003416346
117,0.005447397,-0.001684344,0.000977933,0.005574401,-0.027899874,0.099074005,-0.000291215
118,-0.009462353,-0.005736251,0.010169628,-0.006367821,-0.034216818,0.018853186,-0.002823499
119,-0.000526746,0.006608022,-0.005162853,0.003973079,0.221550495,0.105887742,0.002912984
120,-0.001558742,-0.009714881,-0.019945632,-7.79E-06,0.119684128,-0.088594891,-0.002577431
121,-0.010687454,-0.013011102,0.006138828,-0.010051447,-0.372993059,-0.149692385,-0.003779029
122,0.010168253,0.009942793,-0.003733995,0.006081574,0.082334666,-0.032551163,0.002693036
123,0.002355714,0.005905062,0.012167632,0.002659046,0.241029727,0.005389579,0.00038791
124,-0.021891976,-0.014405022,-0.011419416,-0.01174489,-0.287150973,-0.298511863,-0.003315925
125,0.018736156,0.010298496,0.005460114,0.004221461,0.009560324,-0.109956803,0.001227042
126,-0.004281889,-0.000258574,0.00273209,0.000233716,-0.089336078,-0.076057523,0.001827895
127,-0.001644518,0.004907341,-8.86E-06,-0.000857014,0.00994191,-0.087723964,-0.000432928
128,-0.000317946,-0.000278533,0.001715299,0.000229202,-0.135968844,-0.049453044,-0.001032635
129,0.022423153,0.004060013,-0.011849753,0.016453802,0.17128911,0.430190195,0.003810463
130,0.003452521,0.0049625,0.012107797,0.004752765,0.197469143,0.238854299,-5.58E-05
131,-0.010459108,-0.00191296,-0.001989446,-0.003925599,0.009840319,0.11390494,-5.44E-05
132,0.004828556,0.00232058,0.001216875,0.005657083,-0.028079001,0.194848019,0.002497549
133,0.005143807,-0.005028383,0.007030449,-0.007236326,0.276472275,-0.018409702,-0.002038903
134,-0.005301394,-0.000316568,-0.016301948,-0.000339728,0.196524845,0.11713337,0.001289555
135,7.71E-05,0.006822748,0.013824171,0.000178875,0.258946898,-0.002201262,-0.001993714
136,0.003224179,-0.000930276,0.006125599,-0.003366515,0.287632387,-0.172946845,0.002416835
137,-0.027537126,-0.011316058,-0.002798204,-0.010663287,-0.415698192,-0.003785318,-0.002533541
138,-0.010073563,-0.015920587,-0.01205261,-0.007988446,-0.547793354,-0.050829614,-0.004168148
139,-0.008927715,-0.005918849,-0.004709451,-0.005412957,-0.193325208,-0.356715361,-0.003569461
140,0.026322623,0.015678705,0.013170138,0.010302373,-0.014859774,0.080941421,0.003938294
141,0.018758556,0.008178806,-0.029987009,0.018713205,0.30662231,0.229868485,0.004643886
142,-0.008537348,-0.001697893,0.019371922,-0.002706347,-0.077640573,0.028054831,-0.002459971
143,0.004227041,0.006402078,0.003830205,0.005342486,0.302583456,-0.009883859,0.000522968
144,0.026067677,0.015723273,0.021030946,0.016656693,0.443979442,0.237883604,0.004337846
145,-0.04294244,-0.028481875,-0.008541416,-0.037078698,-0.132603388,-0.177149616,-0.011869725
146,0.012837913,0.013596137,-0.002930782,0.013251644,-0.057028679,0.032663267,0.009074719
147,0.001874114,0.000569405,0.017531695,-3.58E-05,-0.09131524,0.012744711,-0.003649088
148,0.012669532,-0.00057222,-0.036550343,0.017067144,0.180660221,0.117059485,0.004638719
149,0.007113576,0.005418648,0.041588676,0.003735664,0.063812789,0.086232186,-0.000601723
150,-0.018445628,-0.013143896,-0.049247631,-0.007846413,-0.018142981,0.117057746,-0.001468147
151,0.009249611,0.021683776,0.034548924,0.004181865,0.122194754,0.079932652,0.004323057
152,-0.008866214,-0.016213065,-0.015028394,-0.008512989,-0.076912003,0.031737968,-0.005642165
153,0.005955448,0.000564092,-0.000869952,-0.005055078,0.087574988,0.073843384,0.001697227
154,0.010515654,0.013213924,-0.013939121,0.011649165,0.202779823,0.179897997,0.008297373
155,0.008072377,0.002343784,0.025511764,0.021337048,0.29771734,-0.043490773,-0.005750752
156,-0.044054535,-0.026874942,-0.023750757,-0.036946803,-0.333990416,0.019748022,-0.004087534
157,0.025425033,0.011459611,0.007037801,0.008941604,-0.243202611,0.117593933,0.003789308
158,-0.008219888,-0.007242361,0.018771929,-0.006229466,-0.011862379,0.006480097,0.000412341
159,-0.023345894,-0.013445501,-0.008420027,-0.018813625,-0.020473075,-0.196232435,-0.013506417
160,0.031033774,0.030851554,0.021926903,0.019840672,0.066132167,-0.033688018,0.013866858
